Time_10km	CumEQ_10km	Time_20km	CumEQ_20km	Time_30km	CumEQ_30km	Time_40km	CumEQ_40km	Time_50km	CumEQ_50km	Time_100km	CumEQ_100km	Time_150km	CumEQ_150km
1994.576918	1	1994.576918	1	1993.719768	1	1993.719768	1	1993.719768	1	1992.196362	1	1992.057997	1
2015.239082	1	1997.459074	1	1994.576918	1	1994.004777	1	1994.004777	1	1992.211565	1	1992.196362	1
2015.239082	2	1997.459074	2	1994.576918	2	1994.004777	2	1994.004777	2	1992.211565	2	1992.196362	2
2020	2	1998.48482	2	1995.360345	2	1994.576918	2	1994.124248	2	1992.381969	2	1992.211565	2
NaN	NaN	1998.48482	3	1995.360345	3	1994.576918	3	1994.124248	3	1992.381969	3	1992.211565	3
NaN	NaN	2001.818571	3	1997.459074	3	1995.360345	3	1994.437031	3	1992.452067	3	1992.308272	3
NaN	NaN	2001.818571	4	1997.459074	4	1995.360345	4	1994.437031	4	1992.452067	4	1992.308272	4
NaN	NaN	2006.99691	4	1998.48482	4	1995.925488	4	1994.576918	4	1992.629943	4	1992.31418	4
NaN	NaN	2006.99691	5	1998.48482	5	1995.925488	5	1994.576918	5	1992.629943	5	1992.31418	5
NaN	NaN	2008.359396	5	1999.080666	5	1997.459074	5	1995.360345	5	1992.734402	5	1992.353648	5
NaN	NaN	2008.359396	6	1999.080666	6	1997.459074	6	1995.360345	6	1992.734402	6	1992.353648	6
NaN	NaN	2008.559338	6	2001.818571	6	1998.48482	6	1995.925488	6	1992.779052	6	1992.381969	6
NaN	NaN	2008.559338	7	2001.818571	7	1998.48482	7	1995.925488	7	1992.779052	7	1992.381969	7
NaN	NaN	2013.39126	7	2002.732201	7	1999.080666	7	1996.088893	7	1992.848179	7	1992.452067	7
NaN	NaN	2013.39126	8	2002.732201	8	1999.080666	8	1996.088893	8	1992.848179	8	1992.452067	8
NaN	NaN	2015.239082	8	2006.99691	8	2001.818571	8	1996.678615	8	1993.070104	8	1992.629943	8
NaN	NaN	2015.239082	9	2006.99691	9	2001.818571	9	1996.678615	9	1993.070104	9	1992.629943	9
NaN	NaN	2015.92971	9	2008.359396	9	2002.732201	9	1997.459074	9	1993.268948	9	1992.669226	9
NaN	NaN	2015.92971	10	2008.359396	10	2002.732201	10	1997.459074	10	1993.268948	10	1992.669226	10
NaN	NaN	2017.164856	10	2008.559338	10	2003.32654	10	1998.48482	10	1993.531888	10	1992.734402	10
NaN	NaN	2017.164856	11	2008.559338	11	2003.32654	11	1998.48482	11	1993.531888	11	1992.734402	11
NaN	NaN	2019.727473	11	2012.477298	11	2003.564602	11	1999.080666	11	1993.719768	11	1992.779052	11
NaN	NaN	2019.727473	12	2012.477298	12	2003.564602	12	1999.080666	12	1993.719768	12	1992.779052	12
NaN	NaN	2020	12	2013.39126	12	2006.591611	12	2001.818571	12	1994.004271	12	1992.792214	12
NaN	NaN	NaN	NaN	2013.39126	13	2006.591611	13	2001.818571	13	1994.004271	13	1992.792214	13
NaN	NaN	NaN	NaN	2014.785946	13	2006.99691	13	2002.732201	13	1994.004777	13	1992.848179	13
NaN	NaN	NaN	NaN	2014.785946	14	2006.99691	14	2002.732201	14	1994.004777	14	1992.848179	14
NaN	NaN	NaN	NaN	2015.239082	14	2007.546671	14	2003.32654	14	1994.090017	14	1992.881266	14
NaN	NaN	NaN	NaN	2015.239082	15	2007.546671	15	2003.32654	15	1994.090017	15	1992.881266	15
NaN	NaN	NaN	NaN	2015.92971	15	2008.359396	15	2003.526558	15	1994.124248	15	1993.020699	15
NaN	NaN	NaN	NaN	2015.92971	16	2008.359396	16	2003.526558	16	1994.124248	16	1993.020699	16
NaN	NaN	NaN	NaN	2017.164856	16	2008.39372	16	2003.549997	16	1994.1606	16	1993.070104	16
NaN	NaN	NaN	NaN	2017.164856	17	2008.39372	17	2003.549997	17	1994.1606	17	1993.070104	17
NaN	NaN	NaN	NaN	2019.727473	17	2008.559338	17	2003.564602	17	1994.411328	17	1993.20454	17
NaN	NaN	NaN	NaN	2019.727473	18	2008.559338	18	2003.564602	18	1994.411328	18	1993.20454	18
NaN	NaN	NaN	NaN	2020	18	2012.430309	18	2004.609606	18	1994.428108	18	1993.268948	18
NaN	NaN	NaN	NaN	NaN	NaN	2012.430309	19	2004.609606	19	1994.428108	19	1993.268948	19
NaN	NaN	NaN	NaN	NaN	NaN	2012.477298	19	2006.591611	19	1994.437031	19	1993.374327	19
NaN	NaN	NaN	NaN	NaN	NaN	2012.477298	20	2006.591611	20	1994.437031	20	1993.374327	20
NaN	NaN	NaN	NaN	NaN	NaN	2013.39126	20	2006.99691	20	1994.46511	20	1993.531888	20
NaN	NaN	NaN	NaN	NaN	NaN	2013.39126	21	2006.99691	21	1994.46511	21	1993.531888	21
NaN	NaN	NaN	NaN	NaN	NaN	2014.785946	21	2007.138842	21	1994.576918	21	1993.579779	21
NaN	NaN	NaN	NaN	NaN	NaN	2014.785946	22	2007.138842	22	1994.576918	22	1993.579779	22
NaN	NaN	NaN	NaN	NaN	NaN	2015.239082	22	2007.546671	22	1994.630738	22	1993.719768	22
NaN	NaN	NaN	NaN	NaN	NaN	2015.239082	23	2007.546671	23	1994.630738	23	1993.719768	23
NaN	NaN	NaN	NaN	NaN	NaN	2015.334986	23	2008.051414	23	1995.048949	23	1993.743832	23
NaN	NaN	NaN	NaN	NaN	NaN	2015.334986	24	2008.051414	24	1995.048949	24	1993.743832	24
NaN	NaN	NaN	NaN	NaN	NaN	2015.89839	24	2008.359396	24	1995.360345	24	1993.996429	24
NaN	NaN	NaN	NaN	NaN	NaN	2015.89839	25	2008.359396	25	1995.360345	25	1993.996429	25
NaN	NaN	NaN	NaN	NaN	NaN	2015.92971	25	2008.39372	25	1995.370044	25	1994.004271	25
NaN	NaN	NaN	NaN	NaN	NaN	2015.92971	26	2008.39372	26	1995.370044	26	1994.004271	26
NaN	NaN	NaN	NaN	NaN	NaN	2016.672148	26	2008.559338	26	1995.441242	26	1994.004777	26
NaN	NaN	NaN	NaN	NaN	NaN	2016.672148	27	2008.559338	27	1995.441242	27	1994.004777	27
NaN	NaN	NaN	NaN	NaN	NaN	2017.164856	27	2010.179619	27	1995.449722	27	1994.026108	27
NaN	NaN	NaN	NaN	NaN	NaN	2017.164856	28	2010.179619	28	1995.449722	28	1994.026108	28
NaN	NaN	NaN	NaN	NaN	NaN	2017.863827	28	2012.361337	28	1995.550848	28	1994.090017	28
NaN	NaN	NaN	NaN	NaN	NaN	2017.863827	29	2012.361337	29	1995.550848	29	1994.090017	29
NaN	NaN	NaN	NaN	NaN	NaN	2018.239437	29	2012.430309	29	1995.7472	29	1994.124248	29
NaN	NaN	NaN	NaN	NaN	NaN	2018.239437	30	2012.430309	30	1995.7472	30	1994.124248	30
NaN	NaN	NaN	NaN	NaN	NaN	2019.727473	30	2012.477298	30	1995.765564	30	1994.1606	30
NaN	NaN	NaN	NaN	NaN	NaN	2019.727473	31	2012.477298	31	1995.765564	31	1994.1606	31
NaN	NaN	NaN	NaN	NaN	NaN	2020	31	2013.39126	31	1995.925488	31	1994.396583	31
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2013.39126	32	1995.925488	32	1994.396583	32
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2014.625888	32	1996.088893	32	1994.411328	32
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2014.625888	33	1996.088893	33	1994.411328	33
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2014.643206	33	1996.616235	33	1994.428108	33
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2014.643206	34	1996.616235	34	1994.428108	34
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2014.785946	34	1996.678615	34	1994.437031	34
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2014.785946	35	1996.678615	35	1994.437031	35
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.239082	35	1996.74319	35	1994.46511	35
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.239082	36	1996.74319	36	1994.46511	36
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.334986	36	1997.022784	36	1994.576918	36
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.334986	37	1997.022784	37	1994.576918	37
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.89839	37	1997.459074	37	1994.630738	37
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.89839	38	1997.459074	38	1994.630738	38
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.92971	38	1997.844989	38	1994.665778	38
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2015.92971	39	1997.844989	39	1994.665778	39
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2016.672148	39	1998.48482	39	1994.695459	39
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2016.672148	40	1998.48482	40	1994.695459	40
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2017.164856	40	1998.589275	40	1994.697927	40
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2017.164856	41	1998.589275	41	1994.697927	41
